BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496016,GRIFFIN TAYLOR T.,2/17/2017,2/19/2017,MEALS,125.92,2017,GRIFFIN TAYLOR T.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496017,LIZARRAGA JAIME E.,2/22/2017,2/24/2017,MEALS,134.9,2017,LIZARRAGA JAIME E.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496019,CITIBANK GOV CARD SERVICE,1/26/2017,1/31/2017,MEALS,82.78,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/15/2017,AP,E0496020,CITIBANK GOV CARD SERVICE,2/10/2017,2/12/2017,MEALS,67.27,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/16/2017,AP,E0496456,CITIBANK GOV CARD SERVICE,1/31/2017,2/26/2017,MEALS,132.39,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/16/2017,AP,E0496458,CITIBANK GOV CARD SERVICE,1/25/2017,1/26/2017,MEALS,51.55,2017,CITIBANK GOV CARD SERVICE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,3/23/2017,AP,E0498732,PRICE REVA B.,3/12/2017,3/13/2017,MEALS,54.95,2017,PRICE REVA B.
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,TRAVEL,1/4/2017,AR,AC-12554,CITIBANK,10/7/2016,10/16/2016,MEALS,-116.19,2016,CITIBANK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,1/3/2017,AP,E0474083,GUDURU PRATAP K.,11/27/2016,12/2/2016,MEALS,561,2016,GUDURU PRATAP K.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,1/4/2017,AP,E0474082,REMKE MATTHEW A.,10/2/2016,10/6/2016,MEALS,327.75,2016,REMKE MATTHEW A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,2/13/2017,AP,E0486816,AWAN OMAR,1/23/2017,1/27/2017,MEALS,288,2017,AWAN OMAR
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,2/22/2017,AP,E0489205,SWAN CAROL,2/7/2017,2/10/2017,MEALS,178.5,2017,SWAN CAROL
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,2/22/2017,AP,E0489302,DEAN JOSEPH M.,2/7/2017,2/10/2017,MEALS,178.5,2017,DEAN JOSEPH M.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/9/2017,AP,E0493441,ADENIJI ADERONKE F.,2/11/2017,2/17/2017,MEALS,407,2017,ADENIJI ADERONKE F.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/9/2017,AP,E0493442,MOXLEY STEVEN,2/12/2017,2/17/2017,MEALS,407,2017,MOXLEY STEVEN
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/13/2017,AP,E0493578,RAMSEY JOHN D.,2/11/2017,2/18/2017,MEALS,480,2017,RAMSEY JOHN D.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/28/2017,AP,E0499446,CITIBANK GOV CARD SERVICE,2/27/2017,2/27/2017,MEALS,13.74,2017,CITIBANK GOV CARD SERVICE
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,3/30/2017,AP,E0501320,CROTTS JAMIE R.,3/6/2017,3/8/2017,MEALS,127.5,2017,CROTTS JAMIE R.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,TRAVEL,1/13/2017,AP,E0478090,LITTLE ANDREAL P.,6/26/2016,6/29/2016,MEALS,399,2016,LITTLE ANDREAL P.
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,3/16/2017,AP,E0496400,THE CONGRESSIONAL INSTITUTE INC,1/25/2017,1/27/2017,MEALS,213.84,2017,THE CONGRESSIONAL INSTITUTE INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,3/22/2017,AP,E0498368,GORE RUSSELL H,3/7/2017,3/8/2017,MEALS,81,2017,GORE RUSSELL H
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,1/27/2017,AP,897460,BIERET STEFAN J.,1/6/2017,1/9/2017,MEALS,167.76,2017,BIERET STEFAN J.
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,1/27/2017,AP,897463,FITZPATRICK ROBERT,1/5/2017,1/9/2017,MEALS,255.88,2017,FITZPATRICK ROBERT
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/7/2017,AP,901772,COWARD DORIAN A.,1/25/2017,1/27/2017,MEALS,147.12,2017,COWARD DORIAN A.
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/7/2017,AP,901774,FITZPATRICK ROBERT,1/24/2017,1/27/2017,MEALS,349.17,2017,FITZPATRICK ROBERT
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/10/2017,AP,901949,BLODGETT TIMOTHY P.,1/25/2017,1/27/2017,MEALS,176.87,2017,BLODGETT TIMOTHY P.
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/10/2017,AP,902039,IRVING PAUL,1/25/2017,1/27/2017,MEALS,220.3,2017,IRVING PAUL
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/22/2017,AP,902562,IRVING PAUL,2/8/2017,2/9/2017,MEALS,106.16,2017,IRVING PAUL
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/22/2017,AP,902564,COWARD DORIAN A.,2/8/2017,2/10/2017,MEALS,149.79,2017,COWARD DORIAN A.
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/22/2017,AP,902566,BLODGETT TIMOTHY P.,2/8/2017,2/10/2017,MEALS,181.82,2017,BLODGETT TIMOTHY P.
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,2/22/2017,AP,902568,FITZPATRICK ROBERT,2/7/2017,2/10/2017,MEALS,210.16,2017,FITZPATRICK ROBERT
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,TRAVEL,3/20/2017,AP,907732,COWARD DORIAN A.,3/2/2017,3/6/2017,MEALS,194.71,2017,COWARD DORIAN A.
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/4/2017,AP,E0472785,KIMBERLY TURNER,11/28/2016,12/2/2016,MEALS,85.49,2016,KIMBERLY TURNER
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/8/2017,AP,E0472791,ANIERY BATISTA,12/1/2016,12/2/2016,MEALS,105.74,2016,ANIERY BATISTA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/8/2017,AP,E0472797,CHRISTINE BIRON,11/14/2016,11/18/2016,MEALS,108.09,2016,CHRISTINE BIRON
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/8/2017,AP,E0472928,ANIERY BATISTA,11/14/2016,11/30/2016,MEALS,71.1,2016,ANIERY BATISTA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0472793,CHRISTINE BIRON,11/30/2016,12/2/2016,MEALS,59.69,2016,CHRISTINE BIRON
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0474424,DWIGHT EVANS,11/17/2016,11/30/2016,MEALS,406.27,2016,DWIGHT EVANS
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/11/2017,AP,E0474612,JAMES VARNI PANETTA,11/29/2016,12/1/2016,MEALS,56.88,2016,JAMES VARNI PANETTA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/12/2017,AP,E0474249,MICHAEL FLORIO,11/17/2016,12/1/2016,MEALS,166.99,2016,MICHAEL FLORIO
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/25/2017,AP,E0477358,JANILLE RODRIGUEZ-BEAMUD,12/1/2016,12/1/2016,MEALS,64.9,2016,JANILLE RODRIGUEZ-BEAMUD
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/26/2017,AP,E0477359,AARON CLARK,11/14/2016,11/18/2016,MEALS,70.1,2016,AARON CLARK
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,1/27/2017,AP,E0479674,ANDREWS NAOMI E,11/28/2016,12/1/2016,MEALS,267.98,2016,ANDREWS NAOMI E
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/1/2017,AP,E0481913,GEORGE SABA,11/13/2016,11/30/2016,MEALS,216.96,2016,GEORGE SABA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/1/2017,AP,E0481913,GEORGE SABA,11/14/2016,11/14/2016,MEALS,25.29,2016,GEORGE SABA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/3/2017,AP,E0481914,HON RO KHANNA,11/13/2016,12/3/2016,MEALS,368.18,2016,HON RO KHANNA
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484316,SCOTT R JONES,11/13/2016,11/18/2016,MEALS,104.56,2016,SCOTT R JONES
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484317,HON VICENTE GONZALEZ,11/17/2016,11/30/2017,MEALS,217.56,2017,HON VICENTE GONZALEZ
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484320,TOSCANO STEPHANIE,12/1/2016,12/2/2016,MEALS,39.6,2016,TOSCANO STEPHANIE
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/8/2017,AP,E0484321,HON VICENTE GONZALEZ,12/1/2016,12/2/2016,MEALS,160.6,2016,HON VICENTE GONZALEZ
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/10/2017,AP,902330,HON RAJA KRISHNAMOORTHI,11/14/2016,11/17/2016,MEALS,36.37,2016,HON RAJA KRISHNAMOORTHI
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/10/2017,AP,902332,HON RAJA KRISHNAMOORTHI,11/28/2016,12/1/2016,MEALS,89.76,2016,HON RAJA KRISHNAMOORTHI
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,TRAVEL,2/17/2017,AP,E0486663,RYAN HUGHES,11/27/2016,12/2/2016,MEALS,148.17,2016,RYAN HUGHES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/11/2017,AP,896513,HAYDEN JASON R.,12/19/2016,12/20/2016,MEALS,15.95,2016,HAYDEN JASON R.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/11/2017,AP,896520,O'CONNOR RYAN P.,12/12/2016,12/16/2016,MEALS,185,2016,O'CONNOR RYAN P.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/11/2017,AP,897112,YOUNT SHANNON E.,12/15/2016,12/15/2016,MEALS,14.27,2016,YOUNT SHANNON E.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,1/12/2017,AP,897115,BARNES ANTHONY P.,12/19/2016,12/19/2016,MEALS,21.58,2016,BARNES ANTHONY P.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/1/2017,AP,901150,WEBB TRAVIS J.,11/15/2016,11/15/2016,MEALS,59.73,2016,WEBB TRAVIS J.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/7/2017,AP,901819,RODRIGUEZ ANGELICA,1/9/2017,1/10/2017,MEALS,96.43,2017,RODRIGUEZ ANGELICA
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/7/2017,AP,901821,RUSSEL STEVEN E.,1/9/2017,1/10/2017,MEALS,67.06,2017,RUSSEL STEVEN E.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/7/2017,AP,901828,BUTLER PETER A.,1/9/2017,1/10/2017,MEALS,58.98,2017,BUTLER PETER A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,2/7/2017,AP,901830,BUTLER PETER A.,1/19/2017,1/22/2017,MEALS,63.69,2017,BUTLER PETER A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/1/2017,AP,906698,JORDAN CHARLES A.,2/5/2017,2/7/2017,MEALS,127.5,2017,JORDAN CHARLES A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/2/2017,AP,906694,MANGAN IV THOMAS J,1/30/2017,2/3/2017,MEALS,158.54,2017,MANGAN IV THOMAS J
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/2/2017,AP,906696,SIMPSON ROBERT S,2/6/2017,2/8/2017,MEALS,168.19,2017,SIMPSON ROBERT S
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/9/2017,AP,907270,TAING JOHN N.,2/21/2017,2/24/2017,MEALS,100.24,2017,TAING JOHN N.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/10/2017,AP,907267,RUSSEL STEVEN E.,2/22/2017,2/23/2017,MEALS,19.48,2017,RUSSEL STEVEN E.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/22/2017,AP,908046,SIMPSON ROBERT S,3/7/2017,3/10/2017,MEALS,241.5,2017,SIMPSON ROBERT S
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/31/2017,AP,912385,BUTLER PETER A.,3/15/2017,3/15/2017,MEALS,14.25,2017,BUTLER PETER A.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/31/2017,AP,912394,WEBB TRAVIS J.,1/30/2017,2/2/2017,MEALS,98.02,2017,WEBB TRAVIS J.
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,WOUNDED WARRIOR EXPENSES,TRAVEL,3/31/2017,AP,912396,WEBB TRAVIS J.,2/21/2017,2/24/2017,MEALS,148.33,2017,WEBB TRAVIS J.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485320,WILLIAMS II MALONE R.,1/4/2017,1/30/2017,MEALS,56.85,2017,WILLIAMS II MALONE R.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,E0485333,HOWE DONNA A.,1/10/2017,1/17/2017,MEALS,16.28,2017,HOWE DONNA A.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0488841,LOBRANO CHARLES W.,1/5/2017,1/9/2017,MEALS,25.47,2017,LOBRANO CHARLES W.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0492904,SUNDERHAUS JESSICA M.,2/1/2017,2/22/2017,MEALS,27.13,2017,SUNDERHAUS JESSICA M.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494334,CITIBANK GOV CARD SERVICE,1/6/2017,1/17/2017,MEALS,73.2,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0494335,BARRON PATRICK C.,2/22/2017,2/23/2017,MEALS,72.25,2017,BARRON PATRICK C.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495331,LOBRANO CHARLES W.,2/7/2017,2/23/2017,MEALS,32.59,2017,LOBRANO CHARLES W.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0495339,CITIBANK GOV CARD SERVICE,2/12/2017,2/12/2017,MEALS,14.03,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497095,WILLIAMS II MALONE R.,2/1/2017,2/27/2017,MEALS,61.96,2017,WILLIAMS II MALONE R.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/20/2017,AP,E0497096,CITIBANK GOV CARD SERVICE,1/7/2017,1/23/2017,MEALS,57.06,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499197,CITIBANK GOV CARD SERVICE,1/27/2017,2/26/2017,MEALS,130.29,2017,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499199,VERRILL EDWARD B,2/22/2017,2/24/2017,MEALS,61.25,2017,VERRILL EDWARD B
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476818,WILLIAMS II MALONE R.,12/5/2016,12/21/2016,MEALS,52.92,2016,WILLIAMS II MALONE R.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476820,HOWE DONNA A.,12/13/2016,12/13/2016,MEALS,7.61,2016,HOWE DONNA A.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0479557,LOBRANO CHARLES W.,12/12/2016,12/12/2016,MEALS,5.96,2016,LOBRANO CHARLES W.
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/20/2017,AP,E0477994,CITIBANK GOV CARD SERVICE,11/2/2016,11/18/2016,MEALS,83.33,2016,CITIBANK GOV CARD SERVICE
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/13/2017,AP,E0486369,CITIBANK GOV CARD SERVICE,11/29/2016,12/27/2016,MEALS,124.13,2016,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0489066,CITIBANK GOV CARD SERVICE,1/4/2017,1/11/2017,MEALS,158.84,2017,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0489160,CITIBANK GOV CARD SERVICE,1/10/2017,1/24/2017,MEALS,112.08,2017,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489316,CITIBANK GOV CARD SERVICE,1/2/2017,1/26/2017,MEALS,705.57,2017,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0479908,CITIBANK GOV CARD SERVICE,12/21/2016,12/22/2016,MEALS,111.93,2016,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0479973,CITIBANK GOV CARD SERVICE,12/6/2016,12/9/2016,MEALS,23.42,2016,CITIBANK GOV CARD SERVICE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/24/2017,AP,E0481050,CITIBANK GOV CARD SERVICE,11/28/2016,11/30/2016,MEALS,46.95,2016,CITIBANK GOV CARD SERVICE
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483586,CLARK CARSON G.,1/18/2017,1/20/2017,MEALS,20.35,2017,CLARK CARSON G.
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487535,TAYLOR JENNIFER B.,1/26/2017,1/26/2017,MEALS,20.14,2017,TAYLOR JENNIFER B.
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0497358,CITIBANK GOV CARD SERVICE,1/3/2017,1/23/2017,MEALS,19.95,2017,CITIBANK GOV CARD SERVICE
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497171,CITIBANK GOV CARD SERVICE,2/6/2017,2/6/2017,MEALS,11.85,2017,CITIBANK GOV CARD SERVICE
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/22/2017,AP,E0495701,HOUSEL REUBEN P.,2/22/2017,2/22/2017,MEALS,14.05,2017,HOUSEL REUBEN P.
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0497173,RELL BRIAN E.,2/10/2017,2/10/2017,MEALS,15.2,2017,RELL BRIAN E.
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/18/2017,AP,E0476575,CITIBANK GOV CARD SERVICE,11/28/2016,12/12/2016,MEALS,7.89,2016,CITIBANK GOV CARD SERVICE
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0483678,WEINSTEIN SARAH Q.,1/15/2017,1/22/2017,MEALS,141.05,2017,WEINSTEIN SARAH Q.
